RespondentID,Engage,Develop,Teamwork & Trust,Sustainable Engagement
1213,15,6,7,15
1214,38,21,15,23
1215,32,24,17,26
1216,35,17,11,17
1217,13,6,5,9
1218,21,17,12,14
1219,33,22,15,20
1220,30,15,10,21
1221,20,16,9,17
1222,25,13,14,20
1223,20,9,7,16
1224,31,13,11,21
1225,25,13,11,21
1226,36,24,18,17
1227,25,15,13,20
1228,25,22,19,26
1229,15,14,13,15
1230,15,6,5,8
1231,22,14,16,18
1232,16,6,8,9
1233,34,15,15,25
1234,43,25,21,24
1235,12,7,6,11
1236,25,12,7,19
1237,12,8,5,9
1238,28,14,12,20
1239,23,18,16,19
1240,31,20,19,24
1241,15,8,6,12
1242,30,22,15,28
1243,28,13,14,16
1244,38,22,20,18
1245,35,18,11,17
1246,32,20,17,24
1247,22,15,7,16
1248,18,8,9,15
1249,20,9,8,10
1250,22,12,10,11
1251,22,14,11,15
1252,27,16,14,15
1253,36,19,15,26
1254,13,7,7,9
1255,27,13,13,17
1256,19,14,11,19
1257,29,13,13,20
1258,32,21,8,21
1259,23,11,11,14
1260,14,10,10,15
1261,32,15,15,17
1262,26,16,13,23
1263,13,11,12,12
1264,25,16,11,24
1265,14,6,7,12
1266,16,8,7,12
1267,32,18,16,24
1268,19,11,13,15
1269,17,5,11,10
1270,18,11,9,10
1271,19,12,7,13
1272,38,17,17,24
1273,22,11,13,21
1274,24,13,16,16
1275,37,21,16,18
1276,17,9,8,10
1277,20,13,11,17
1278,30,14,16,22
1279,43,29,23,24
1280,33,18,17,22
1281,12,6,7,10
1282,29,12,0,15
1283,35,18,15,21
1284,30,14,9,15
1285,23,13,14,18
1286,18,9,7,16
1287,18,13,12,18
1288,15,6,6,10
1289,28,12,13,23
1290,18,8,9,14
1291,18,7,6,9
1292,10,6,5,8
1293,14,7,6,10
1294,19,10,10,13
1295,39,19,14,30
1296,26,16,17,21
1297,15,8,7,8
1298,21,8,0,12
1299,35,23,17,27
1300,23,12,8,18
1301,16,9,6,11
1302,20,17,12,18
1303,38,18,23,19
1304,17,8,9,13
1305,30,21,23,24
1306,35,14,17,17
1307,22,9,10,12
1308,15,8,5,7
1309,21,13,11,11
1310,20,8,7,8
1311,19,15,9,18
1312,11,7,6,9
1313,19,7,7,14
1314,15,9,6,13
1315,16,9,10,17
1316,34,19,18,25
1317,33,20,19,23
1318,10,6,5,8
1319,22,10,11,12
1320,17,10,6,12
1321,28,18,12,24
1322,21,13,12,24
1323,14,11,7,13
1324,19,7,8,13
1325,17,7,10,13
1326,18,7,6,8
1327,20,8,8,13
1328,30,16,15,16
1329,14,10,8,8
1330,19,9,9,21
1331,26,12,12,16
1332,23,14,9,19
1333,20,11,10,17
1334,15,7,6,12
1335,23,11,9,14
1336,19,9,6,14
1337,21,8,7,12
1338,18,8,9,15
